名目原系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Original Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
1994/ 1- 3.,"120,994.4 ","65,027.4 ","64,414.0 ","55,816.1 ","5,984.4 ","20,312.5 ","-2,480.9 ","17,358.4 ","12,191.5 ",-113.7 ,"2,714.8 ","11,249.3 ","8,534.5 ",,"1,222.1 ","4,342.5 ","3,120.4 ","122,216.5 ",,"118,279.6 ","88,843.5 ","29,436.2 ",,"38,488.4 ",,"123,588.9 ",,,,,,
4- 6.,"122,715.4 ","65,857.9 ","64,592.1 ","55,891.3 ","6,320.7 ","17,545.6 ",820.6 ,"20,182.0 ","9,672.2 ",31.8 ,"2,284.6 ","10,981.7 ","8,697.1 ",,"1,210.9 ","3,872.8 ","2,661.9 ","123,926.3 ",,"120,430.8 ","90,544.7 ","29,886.0 ",,"33,538.5 ",,"121,862.9 ",,,,,,
7- 9.,"123,398.9 ","67,964.3 ","66,824.0 ","58,010.2 ","7,386.7 ","18,933.2 ",-430.3 ,"16,696.6 ","10,588.9 ",114.1 ,"2,145.5 ","11,235.3 ","9,089.8 ",,921.8 ,"3,959.1 ","3,037.3 ","124,320.8 ",,"121,253.5 ","93,853.9 ","27,399.5 ",,"36,908.8 ",,"123,715.2 ",,,,,,
10-12.,"134,429.0 ","69,592.0 ","67,955.7 ","59,021.7 ","6,956.1 ","18,746.3 ","1,902.1 ","21,137.1 ","13,371.5 ",325.1 ,"2,398.6 ","11,690.6 ","9,292.0 ",,900.6 ,"3,799.0 ","2,898.4 ","135,329.6 ",,"132,030.4 ","97,196.6 ","34,833.8 ",,"39,074.0 ",,"132,201.7 ",,,,,,
1995/ 1- 3.,"122,207.9 ","66,561.9 ","65,914.3 ","56,909.7 ","6,275.5 ","20,836.2 ","-2,881.2 ","18,337.4 ","11,246.8 ",-46.4 ,"1,877.6 ","11,245.4 ","9,367.8 ",,"1,172.8 ","4,658.9 ","3,486.1 ","123,380.7 ",,"120,330.3 ","90,792.5 ","29,537.8 ",,"38,358.5 ",,"125,135.5 ",,,,,,
4- 6.,"125,394.0 ","67,080.7 ","65,739.7 ","56,639.6 ","6,094.1 ","18,638.7 ","1,844.4 ","21,010.4 ","9,077.8 ",-31.6 ,"1,679.5 ","10,665.0 ","8,985.6 ",,"1,034.4 ","3,936.2 ","2,901.8 ","126,428.4 ",,"123,714.5 ","93,657.9 ","30,056.6 ",,"33,810.6 ",,"123,581.2 ",,,,,,
